B-6-MT_IMPAGO-1-commax16.2
B-6-MT_PRES-2-commax16.2
B-6-MT_DEB-3-commax16.2
B-6-MT_INDE-4-commax16.2
B-6-PRES_CLI-5-$44
B-6-CTB_ESTADO-6-$4
B-6-PRES_ID-7-$12
B-6-PRES_CLI_ID-8-$6
B-6-MT_INNODE-9-commax16.2
B-6-CTB_FE-10-ddmmyy8
